rst,area_ha,fsID,pub_priv,HYBRID,BAU,WOOD,BIO
2_1,21.279,1523,1,3,2,3,2
2_1,7.715,1530,1,3,2,3,2
4_1,5.257,1545,1,3,2,3,2
4_1,13.868,1546,1,3,2,3,2
4_1,7.893,1555,1,3,2,3,2
4_1,5.045,1565,1,3,2,3,2
4_1,5.824,1569,1,3,2,3,2
4_1,5.322,1581,1,3,2,3,2
4_1,6.218,1582,1,3,2,3,2
4_1,7.228,1585,0,3,2,3,2
4_1,17.153,1590,1,3,2,3,2
4_1,16.544,1594,1,3,2,3,2
4_1,5.203,1615,1,3,2,3,2
4_1,9.155,1623,1,3,2,3,2
4_1,11.615,1629,1,3,2,3,2
4_1,5.524,1634,1,3,2,3,2
4_1,7.664,1635,1,3,2,3,2
4_1,6.393,1650,1,3,2,3,2
4_1,5.590,1654,1,3,2,3,2
4_1,8.095,1663,1,3,2,3,2
4_3,7.590,1703,1,3,2,3,2
4_3,9.276,1705,1,3,2,3,2
4_3,5.477,1709,1,3,2,3,2
5_1,7.934,1730,1,3,2,3,2
5_1,5.050,1747,1,3,2,3,2
5_1,6.832,1748,1,3,2,3,2
5_1,7.402,1755,1,3,2,3,2
5_1,9.088,1758,1,3,2,3,2
5_1,6.025,1768,1,3,2,3,2
5_1,5.788,1776,1,3,2,3,2
5_1,8.434,1778,1,3,2,3,2
5_3,5.248,1800,1,3,2,3,2
5_3,6.993,1813,1,3,2,3,2
5_3,5.478,1824,1,3,2,3,2
5_3,5.129,1854,1,3,2,3,2
5_3,17.653,1857,1,3,2,3,2
5_3,5.424,1864,1,3,2,3,2
5_3,13.554,1868,1,3,2,3,2
5_3,5.868,1869,1,3,2,3,2
5_3,13.524,1870,1,3,2,3,2
5_3,7.239,1872,1,3,2,3,2
2_1,0.463,2001,1,3,2,3,2
2_1,2.088,2007,1,3,2,3,2
2_2,0.905,2008,1,3,2,3,2
4_1,1.315,2022,0,3,2,3,2
4_1,3.934,2024,1,3,2,3,2
4_1,0.803,2027,0,3,2,3,2
4_1,0.960,2031,1,3,2,3,2
4_1,4.100,2044,1,3,2,3,2
4_2,0.891,2085,1,3,2,3,2
4_2,0.164,2089,0,3,2,3,2
4_3,0.264,2115,0,3,2,3,2
4_3,0.485,2123,0,3,2,3,2
5_1,1.213,2147,1,3,2,3,2
5_1,1.901,2148,1,3,2,3,2
5_1,1.388,2174,1,3,2,3,2
5_2,2.036,2205,1,3,2,3,2
5_2,2.579,2208,1,3,2,3,2
5_2,0.750,2209,0,3,2,3,2
5_3,1.658,2214,1,3,2,3,2
5_3,3.397,2220,1,3,2,3,2
5_3,4.720,2235,1,3,2,3,2
2_2,6.763,2258,1,3,2,3,2
2_2,5.940,2264,1,3,2,3,2
4_1,2.835,2267,1,3,2,3,2
4_1,0.293,2268,0,3,2,3,2
4_1,2.626,2274,1,3,2,3,2
4_1,6.213,2282,1,3,2,3,2
4_1,2.270,2314,1,3,2,3,2
4_1,6.103,2317,1,3,2,3,2
4_1,2.464,2319,0,3,2,3,2
4_1,1.986,2328,0,3,2,3,2
4_1,2.806,2331,1,3,2,3,2
4_1,1.662,2333,1,3,2,3,2
4_1,0.500,2356,1,3,2,3,2
4_1,2.001,2359,1,3,2,3,2
4_2,3.219,2390,1,3,2,3,2
4_2,0.718,2403,1,3,2,3,2
4_2,5.262,2411,0,3,2,3,2
4_2,0.094,2415,1,3,2,3,2
4_2,2.235,2420,1,3,2,3,2
4_2,2.176,2423,1,3,2,3,2
4_2,4.268,2441,1,3,2,3,2
4_2,0.128,2443,1,3,2,3,2
4_2,0.191,2447,0,3,2,3,2
4_2,1.396,2459,1,3,2,3,2
4_2,0.097,2470,0,3,2,3,2
4_2,2.113,2491,1,3,2,3,2
4_2,7.180,2495,1,3,2,3,2
4_2,1.095,2504,0,3,2,3,2
4_2,1.086,2531,1,3,2,3,2
4_2,1.997,2534,1,3,2,3,2
4_3,0.753,2547,1,3,2,3,2
4_3,1.246,2554,1,3,2,3,2
5_1,0.737,2575,1,3,2,3,2
5_1,4.111,2576,1,3,2,3,2
5_1,4.962,2584,1,3,2,3,2
5_1,3.719,2585,1,3,2,3,2
