#ID;Baum-ID;Baumart;Baumart-Code;Beschrieb/BaumNr;Gruppierungsmerkmal;BHD [cm];Schaftl�nge [m];L�ngenklasse;St�rkenklasse;Position Sortimentsbasis am Stamm [m];L�nge [m];Basis-Drm OR;Mitten-Durchm. OR [cm];Zopf-Durchm. OR [cm];Volumen OR [m3];Volumen IR [m3];Volumen Restst�ck Unten OR [m3];Volumen RestSt�ck Oben OR [m3];Wert [CHF];
1;0;Fichte;100;1;2033;20.1082084873383;20.0;L2;1b;0.3;9.0;20.17;17.04;14.24;0.2;0.22;0.0;0.08;15.14;
2;0;Fichte;100;1;2033;20.1082084873383;20.0;L2;1a;9.4;9.0;14.17;10.18;3.65;0.07;0.08;0.0;0.0;3.68;
3;0;Fichte;100;1;2033;20.1082084873383;20.0;Restholz 1;Restholz 1;18.5;1.5;3.45;1.84;0.0;0.0;0.0;0.0;0.0;0.02;
#Summe:;0;Fichte;100;1;2033;20.1082084873383;20.0;;;;;;;;0.28;0.31;;;18.85;
#
4;1;Fichte;100;1;2033;39.0051945420898;32.0;L3;3a;0.3;17.5;39.54;30.04;23.77;1.28;1.41;0.0;0.26;154.91;
5;1;Fichte;100;1;2033;39.0051945420898;32.0;L1;2a;17.9;4.5;23.67;21.12;18.17;0.15;0.17;0.0;0.1;15.7;
6;1;Fichte;100;1;2033;39.0051945420898;32.0;L2;1a;22.5;9.0;18.03;10.86;1.29;0.09;0.11;0.0;0.0;4.69;
7;1;Fichte;100;1;2033;39.0051945420898;32.0;Restholz 1;Restholz 1;31.6;0.4;1.04;0.52;0.0;0.0;0.0;0.0;0.0;0.0;
#Summe:;1;Fichte;100;1;2033;39.0051945420898;32.0;;;;;;;;1.53;1.69;;;175.29;
#
8;2;Fichte;100;1;2033;60.155946394469;41.0;L1;5;0.3;6.0;61.3;52.17;47.35;1.29;1.41;0.0;2.99;185.47;
9;2;Fichte;100;1;2033;60.155946394469;41.0;L1;4;6.4;6.0;47.24;44.85;43.38;0.93;1.01;0.0;2.01;117.04;
10;2;Fichte;100;1;2033;60.155946394469;41.0;L1;4;12.5;6.0;43.33;41.84;39.76;0.8;0.88;0.0;1.18;100.78;
11;2;Fichte;100;1;2033;60.155946394469;41.0;L2;3b;18.6;8.5;39.68;35.23;29.07;0.81;0.91;0.0;0.34;97.8;
12;2;Fichte;100;1;2033;60.155946394469;41.0;L1;2b;27.2;4.5;28.91;25.06;20.88;0.22;0.25;0.0;0.11;23.76;
13;2;Fichte;100;1;2033;60.155946394469;41.0;L1;1b;31.8;3.0;20.69;17.73;14.64;0.07;0.08;0.0;0.04;5.26;
14;2;Fichte;100;1;2033;60.155946394469;41.0;L1;1a;34.9;4.0;14.43;10.07;5.39;0.03;0.04;0.0;0.0;1.66;
15;2;Fichte;100;1;2033;60.155946394469;41.0;Restholz 1;Restholz 1;39.0;2.0;5.14;2.64;0.0;0.0;0.0;0.0;0.0;0.07;
#Summe:;2;Fichte;100;1;2033;60.155946394469;41.0;;;;;;;;4.14;4.59;;;531.85;
#
16;3;Fichte;100;1;2033;15.9001944580098;17.0;L3;1a;0.3;16.5;15.89;10.92;0.5;0.15;0.17;0.0;0.0;7.69;
17;3;Fichte;100;1;2033;15.9001944580098;17.0;Restholz 1;Restholz 1;16.9;0.1;0.25;0.13;0.0;0.0;0.0;0.0;0.0;0.0;
#Summe:;3;Fichte;100;1;2033;15.9001944580098;17.0;;;;;;;;0.15;0.17;;;7.69;
#
18;4;Fichte;100;1;2033;25.8663941070849;24.0;L2;2a;0.3;10.5;26.05;21.55;18.34;0.39;0.42;0.0;0.15;39.91;
19;4;Fichte;100;1;2033;25.8663941070849;24.0;L1;1b;10.9;4.5;18.27;16.44;14.24;0.09;0.1;0.0;0.06;6.81;
20;4;Fichte;100;1;2033;25.8663941070849;24.0;L2;1a;15.5;6.5;14.13;10.13;4.64;0.05;0.06;0.0;0.0;2.66;
21;4;Fichte;100;1;2033;25.8663941070849;24.0;Restholz 1;Restholz 1;22.1;1.9;4.44;2.36;0.0;0.0;0.0;0.0;0.0;0.05;
#Summe:;4;Fichte;100;1;2033;25.8663941070849;24.0;;;;;;;;0.53;0.59;;;49.44;
#
22;5;Fichte;100;1;2033;23.2209516028794;22.0;L2;2a;0.3;7.0;23.34;20.33;18.29;0.23;0.25;0.0;0.18;23.33;
23;5;Fichte;100;1;2033;23.2209516028794;22.0;L1;1b;7.4;5.5;18.23;16.4;14.1;0.11;0.13;0.0;0.06;8.33;
24;5;Fichte;100;1;2033;23.2209516028794;22.0;L2;1a;13.0;7.0;14.0;10.16;4.6;0.06;0.07;0.0;0.0;2.86;
25;5;Fichte;100;1;2033;23.2209516028794;22.0;Restholz 1;Restholz 1;20.1;1.9;4.4;2.36;0.0;0.0;0.0;0.0;0.0;0.05;
#Summe:;5;Fichte;100;1;2033;23.2209516028794;22.0;;;;;;;;0.4;0.44;;;34.57;
#
26;6;Fichte;100;1;2033;16.847444814779;17.0;L1;1b;0.3;4.5;16.84;15.38;14.08;0.08;0.09;0.0;0.09;6.0;
27;6;Fichte;100;1;2033;16.847444814779;17.0;L2;1a;4.9;11.0;14.02;10.04;2.63;0.09;0.1;0.0;0.0;4.33;
28;6;Fichte;100;1;2033;16.847444814779;17.0;Restholz 1;Restholz 1;16.0;1.0;2.41;1.27;0.0;0.0;0.0;0.0;0.0;0.01;
#Summe:;6;Fichte;100;1;2033;16.847444814779;17.0;;;;;;;;0.17;0.19;;;10.34;
#
29;7;Fichte;100;1;2033;53.5956763160194;38.0;L1;4;0.3;6.0;54.53;46.68;42.62;1.03;1.12;0.0;2.21;130.47;
30;7;Fichte;100;1;2033;53.5956763160194;38.0;L1;4;6.4;6.0;42.53;40.44;38.94;0.75;0.82;0.0;1.42;94.98;
31;7;Fichte;100;1;2033;53.5956763160194;38.0;L3;3a;12.5;17.0;38.89;32.02;18.91;1.32;1.49;0.0;0.09;159.53;
32;7;Fichte;100;1;2033;53.5956763160194;38.0;L2;1a;29.6;8.0;18.73;10.7;1.09;0.08;0.1;0.0;0.0;4.23;
33;7;Fichte;100;1;2033;53.5956763160194;38.0;Restholz 1;Restholz 1;37.7;0.3;0.82;0.41;0.0;0.0;0.0;0.0;0.0;0.0;
#Summe:;7;Fichte;100;1;2033;53.5956763160194;38.0;;;;;;;;3.19;3.53;;;389.21;
#
34;8;Fichte;100;1;2033;16.6771216579156;17.0;L1;1b;0.3;4.0;16.67;15.37;14.23;0.07;0.08;0.0;0.09;5.28;
35;8;Fichte;100;1;2033;16.6771216579156;17.0;L2;1a;4.4;11.5;14.17;10.15;2.6;0.09;0.1;0.0;0.0;4.63;
36;8;Fichte;100;1;2033;16.6771216579156;17.0;Restholz 1;Restholz 1;16.0;1.0;2.39;1.26;0.0;0.0;0.0;0.0;0.0;0.01;
#Summe:;8;Fichte;100;1;2033;16.6771216579156;17.0;;;;;;;;0.16;0.18;;;9.92;
#
37;9;Fichte;100;1;2033;42.477835791638;34.0;L3;3a;0.3;22.0;43.12;31.47;21.62;1.74;1.92;0.0;0.17;210.4;
38;9;Fichte;100;1;2033;42.477835791638;34.0;L1;1b;22.4;4.5;21.48;18.28;14.71;0.12;0.13;0.0;0.04;8.53;
39;9;Fichte;100;1;2033;42.477835791638;34.0;L1;1a;27.0;5.0;14.54;10.04;4.85;0.04;0.05;0.0;0.0;2.07;
