#ID;Baum-ID;Baumart;Baumart-Code;Beschrieb/BaumNr;Gruppierungsmerkmal;BHD [cm];Schaftl�nge [m];L�ngenklasse;St�rkenklasse;Position Sortimentsbasis am Stamm [m];L�nge [m];Basis-Drm OR;Mitten-Durchm. OR [cm];Zopf-Durchm. OR [cm];Volumen OR [m3];Volumen IR [m3];Volumen Restst�ck Unten OR [m3];Volumen RestSt�ck Oben OR [m3];Wert [CHF];
1;0;Fichte;100;1;2033;49.0653677830558;37.0;L1;4;0.3;6.0;49.9;42.79;39.15;0.87;0.94;0.0;1.81;109.6;
2;0;Fichte;100;1;2033;49.0653677830558;37.0;L3;3a;6.4;22.0;39.06;32.43;18.03;1.71;1.91;0.0;0.08;206.74;
3;0;Fichte;100;1;2033;49.0653677830558;37.0;L2;1a;28.5;8.0;17.86;10.37;1.3;0.08;0.09;0.0;0.0;3.92;
4;0;Fichte;100;1;2033;49.0653677830558;37.0;Restholz 1;Restholz 1;36.6;0.4;1.04;0.52;0.0;0.0;0.0;0.0;0.0;0.0;
#Summe:;0;Fichte;100;1;2033;49.0653677830558;37.0;;;;;;;;2.65;2.94;;;320.27;
#
5;1;Fichte;100;1;2033;13.9183714966314;15.0;L2;1a;0.3;13.0;13.88;10.13;3.57;0.1;0.12;0.0;0.0;5.22;
6;1;Fichte;100;1;2033;13.9183714966314;15.0;Restholz 1;Restholz 1;13.4;1.6;3.4;1.87;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;1;Fichte;100;1;2033;13.9183714966314;15.0;;;;;;;;0.1;0.12;;;5.24;
#
7;2;Fichte;100;1;2033;25.2242780156025;24.0;L2;2a;0.3;10.0;25.41;21.15;18.23;0.36;0.39;0.0;0.16;36.61;
8;2;Fichte;100;1;2033;25.2242780156025;24.0;L1;1b;10.4;4.5;18.16;16.45;14.4;0.09;0.1;0.0;0.06;6.82;
9;2;Fichte;100;1;2033;25.2242780156025;24.0;L2;1a;15.0;7.0;14.3;10.22;4.52;0.06;0.07;0.0;0.0;2.92;
10;2;Fichte;100;1;2033;25.2242780156025;24.0;Restholz 1;Restholz 1;22.1;1.9;4.33;2.3;0.0;0.0;0.0;0.0;0.0;0.05;
#Summe:;2;Fichte;100;1;2033;25.2242780156025;24.0;;;;;;;;0.51;0.56;;;46.4;
#
11;3;Fichte;100;1;2033;23.9558955401685;23.0;L2;2a;0.3;8.5;24.1;20.51;18.08;0.28;0.31;0.0;0.17;29.08;
12;3;Fichte;100;1;2033;23.9558955401685;23.0;L1;1b;8.9;5.0;18.02;16.26;14.1;0.1;0.11;0.0;0.06;7.42;
13;3;Fichte;100;1;2033;23.9558955401685;23.0;L2;1a;14.0;7.0;14.0;10.08;4.51;0.06;0.07;0.0;0.0;2.83;
14;3;Fichte;100;1;2033;23.9558955401685;23.0;Restholz 1;Restholz 1;21.1;1.9;4.32;2.3;0.0;0.0;0.0;0.0;0.0;0.05;
#Summe:;3;Fichte;100;1;2033;23.9558955401685;23.0;;;;;;;;0.44;0.49;;;39.39;
#
15;4;Fichte;100;1;2033;38.7586583817448;32.0;L3;3a;0.3;16.5;39.29;30.11;24.61;1.22;1.34;0.0;0.3;147.34;
16;4;Fichte;100;1;2033;38.7586583817448;32.0;L1;2a;16.9;5.5;24.51;21.58;18.06;0.2;0.22;0.0;0.1;20.17;
17;4;Fichte;100;1;2033;38.7586583817448;32.0;L2;1a;22.5;9.0;17.92;10.8;1.29;0.09;0.11;0.0;0.0;4.63;
18;4;Fichte;100;1;2033;38.7586583817448;32.0;Restholz 1;Restholz 1;31.6;0.4;1.03;0.52;0.0;0.0;0.0;0.0;0.0;0.0;
#Summe:;4;Fichte;100;1;2033;38.7586583817448;32.0;;;;;;;;1.51;1.67;;;172.13;
#
19;5;Fichte;100;1;2033;35.0988347198653;30.0;L2;3a;0.3;7.5;35.53;30.2;27.72;0.54;0.59;0.0;0.64;65.9;
20;5;Fichte;100;1;2033;35.0988347198653;30.0;L2;2b;7.9;9.0;27.66;25.1;21.35;0.43;0.48;0.0;0.19;48.52;
21;5;Fichte;100;1;2033;35.0988347198653;30.0;L1;1b;17.0;5.5;21.25;18.16;14.48;0.14;0.16;0.0;0.05;10.31;
22;5;Fichte;100;1;2033;35.0988347198653;30.0;L1;1a;22.6;5.0;14.33;10.36;5.62;0.04;0.05;0.0;0.0;2.15;
23;5;Fichte;100;1;2033;35.0988347198653;30.0;Restholz 1;Restholz 1;27.7;2.3;5.41;2.85;0.0;0.0;0.0;0.0;0.0;0.09;
#Summe:;5;Fichte;100;1;2033;35.0988347198653;30.0;;;;;;;;1.16;1.29;;;126.97;
#
24;6;Fichte;100;1;2033;41.7664219633039;33.0;L3;3a;0.3;22.0;42.37;30.93;20.48;1.67;1.84;0.0;0.14;201.97;
25;6;Fichte;100;1;2033;41.7664219633039;33.0;L1;1b;22.4;4.0;20.34;17.38;14.1;0.09;0.11;0.0;0.04;6.82;
26;6;Fichte;100;1;2033;41.7664219633039;33.0;L1;1a;26.5;4.0;13.92;10.25;6.11;0.03;0.04;0.0;0.0;1.67;
27;6;Fichte;100;1;2033;41.7664219633039;33.0;Restholz 1;Restholz 1;30.6;2.4;5.89;3.08;0.0;0.0;0.0;0.0;0.0;0.11;
#Summe:;6;Fichte;100;1;2033;41.7664219633039;33.0;;;;;;;;1.8;1.99;;;210.57;
#
