#ID;Baum-ID;Baumart;Baumart-Code;Beschrieb/BaumNr;Gruppierungsmerkmal;BHD [cm];Schaftl�nge [m];L�ngenklasse;St�rkenklasse;Position Sortimentsbasis am Stamm [m];L�nge [m];Basis-Drm OR;Mitten-Durchm. OR [cm];Zopf-Durchm. OR [cm];Volumen OR [m3];Volumen IR [m3];Volumen Restst�ck Unten OR [m3];Volumen RestSt�ck Oben OR [m3];Wert [CHF];
1;0;Tanne;101;1;2033;51.1535051882585;26.0;L3;4;0.3;15.5;50.16;40.21;31.26;1.99;2.24;0.0;0.37;227.06;
2;0;Tanne;101;1;2033;51.1535051882585;26.0;L1;2b;15.9;6.0;31.12;26.02;18.51;0.31;0.36;0.0;0.04;31.31;
3;0;Tanne;101;1;2033;51.1535051882585;26.0;L1;1a;22.0;3.5;18.19;11.74;3.02;0.04;0.05;0.0;0.0;2.03;
4;0;Tanne;101;1;2033;51.1535051882585;26.0;Restholz 1;Restholz 1;25.6;0.4;2.44;1.24;0.0;0.0;0.0;0.0;0.0;0.0;
#Summe:;0;Tanne;101;1;2033;51.1535051882585;26.0;;;;;;;;2.34;2.64;;;260.4;
#
5;1;Tanne;101;1;2033;60.2247720106153;29.0;L2;5;0.3;10.0;59.42;50.19;45.15;2.01;2.26;0.0;1.52;230.07;
6;1;Tanne;101;1;2033;60.2247720106153;29.0;L2;4;10.4;9.0;45.05;40.06;33.34;1.11;1.26;0.0;0.38;123.51;
7;1;Tanne;101;1;2033;60.2247720106153;29.0;L1;3a;19.5;3.0;33.16;30.24;26.79;0.2;0.23;0.0;0.15;22.21;
8;1;Tanne;101;1;2033;60.2247720106153;29.0;Restholz 1;Restholz 1;22.6;6.4;26.54;16.37;0.0;0.15;0.17;0.0;0.0;7.36;
#Summe:;1;Tanne;101;1;2033;60.2247720106153;29.0;;;;;;;;3.47;3.92;;;383.16;
#
9;2;Tanne;101;1;2033;32.1546390614323;18.0;L2;2b;0.3;12.0;30.85;25.6;18.39;0.61;0.69;0.0;0.07;62.05;
10;2;Tanne;101;1;2033;32.1546390614323;18.0;L1;1a;12.4;5.5;18.24;12.33;0.6;0.07;0.08;0.0;0.0;3.33;
#Summe:;2;Tanne;101;1;2033;32.1546390614323;18.0;;;;;;;;0.68;0.77;;;65.38;
#
11;3;Tanne;101;1;2033;32.5600438877263;18.0;L1;3a;0.3;3.5;31.24;30.19;28.61;0.24;0.27;0.0;0.46;25.83;
12;3;Tanne;101;1;2033;32.5600438877263;18.0;L1;2b;3.9;6.0;28.51;25.25;21.83;0.29;0.33;0.0;0.15;29.72;
13;3;Tanne;101;1;2033;32.5600438877263;18.0;L1;1b;10.0;4.5;21.71;18.7;14.27;0.12;0.14;0.0;0.02;8.8;
14;3;Tanne;101;1;2033;32.5600438877263;18.0;Restholz 1;Restholz 1;14.6;3.4;14.01;8.51;0.0;0.02;0.03;0.0;0.0;1.07;
#Summe:;3;Tanne;101;1;2033;32.5600438877263;18.0;;;;;;;;0.67;0.76;;;65.43;
#
15;4;Fichte;100;1;2033;21.1806877557869;21.0;L2;1b;0.3;10.5;21.27;17.57;14.17;0.25;0.28;0.0;0.07;18.85;
16;4;Fichte;100;1;2033;21.1806877557869;21.0;L2;1a;10.9;8.5;14.09;10.04;3.64;0.07;0.08;0.0;0.0;3.4;
17;4;Fichte;100;1;2033;21.1806877557869;21.0;Restholz 1;Restholz 1;19.5;1.5;3.44;1.83;0.0;0.0;0.0;0.0;0.0;0.02;
#Summe:;4;Fichte;100;1;2033;21.1806877557869;21.0;;;;;;;;0.32;0.36;;;22.28;
#
18;5;Fichte;100;1;2033;46.5891114261392;36.0;L1;4;0.3;6.0;47.35;40.69;37.29;0.78;0.85;0.0;1.58;99.05;
19;5;Fichte;100;1;2033;46.5891114261392;36.0;L3;3a;6.4;20.5;37.21;31.15;18.48;1.48;1.65;0.0;0.09;178.79;
20;5;Fichte;100;1;2033;46.5891114261392;36.0;L2;1a;27.0;8.5;18.32;10.71;1.29;0.09;0.11;0.0;0.0;4.42;
21;5;Fichte;100;1;2033;46.5891114261392;36.0;Restholz 1;Restholz 1;35.6;0.4;1.03;0.52;0.0;0.0;0.0;0.0;0.0;0.0;
#Summe:;5;Fichte;100;1;2033;46.5891114261392;36.0;;;;;;;;2.35;2.61;;;282.26;
#
22;6;Fichte;100;1;2033;18.9639417886221;19.0;L2;1b;0.3;7.5;19.0;16.44;14.2;0.16;0.17;0.0;0.08;11.69;
23;6;Fichte;100;1;2033;18.9639417886221;19.0;L2;1a;7.9;9.5;14.13;10.23;3.64;0.08;0.09;0.0;0.0;3.9;
24;6;Fichte;100;1;2033;18.9639417886221;19.0;Restholz 1;Restholz 1;17.5;1.5;3.44;1.84;0.0;0.0;0.0;0.0;0.0;0.02;
#Summe:;6;Fichte;100;1;2033;18.9639417886221;19.0;;;;;;;;0.24;0.26;;;15.61;
#
25;7;Fichte;100;1;2033;58.1304216169335;40.0;L1;5;0.3;6.0;59.21;50.49;45.92;1.21;1.32;0.0;2.73;173.6;
26;7;Fichte;100;1;2033;58.1304216169335;40.0;L1;4;6.4;6.0;45.81;43.52;42.05;0.87;0.95;0.0;1.81;110.15;
27;7;Fichte;100;1;2033;58.1304216169335;40.0;L1;4;12.5;6.0;42.0;40.42;38.21;0.74;0.82;0.0;1.03;94.03;
28;7;Fichte;100;1;2033;58.1304216169335;40.0;L2;3a;18.6;13.0;38.12;30.34;19.07;0.93;1.06;0.0;0.09;112.52;
29;7;Fichte;100;1;2033;58.1304216169335;40.0;L2;1a;31.7;8.0;18.88;10.55;0.81;0.08;0.1;0.0;0.0;4.19;
30;7;Fichte;100;1;2033;58.1304216169335;40.0;Restholz 1;Restholz 1;39.8;0.2;0.54;0.27;0.0;0.0;0.0;0.0;0.0;0.0;
#Summe:;7;Fichte;100;1;2033;58.1304216169335;40.0;;;;;;;;3.84;4.26;;;494.49;
#
31;8;Fichte;100;1;2033;23.5922805230898;22.0;L2;2a;0.3;7.5;23.71;20.5;18.28;0.25;0.27;0.0;0.17;25.48;
32;8;Fichte;100;1;2033;23.5922805230898;22.0;L1;1b;7.9;5.0;18.21;16.47;14.32;0.1;0.12;0.0;0.06;7.61;
33;8;Fichte;100;1;2033;23.5922805230898;22.0;L2;1a;13.0;7.0;14.23;10.32;4.67;0.06;0.07;0.0;0.0;2.95;
34;8;Fichte;100;1;2033;23.5922805230898;22.0;Restholz 1;Restholz 1;20.1;1.9;4.47;2.4;0.0;0.0;0.0;0.0;0.0;0.05;
#Summe:;8;Fichte;100;1;2033;23.5922805230898;22.0;;;;;;;;0.41;0.46;;;36.1;
#
35;9;Fichte;100;1;2033;27.633625977821;25.0;L1;2b;0.3;4.5;27.86;25.15;23.47;0.22;0.24;0.0;0.42;24.05;
36;9;Fichte;100;1;2033;27.633625977821;25.0;L2;2a;4.9;8.0;23.41;21.1;18.2;0.27;0.3;0.0;0.14;28.12;
37;9;Fichte;100;1;2033;27.633625977821;25.0;L1;1b;13.0;4.0;18.12;16.24;14.05;0.08;0.09;0.0;0.05;5.89;
38;9;Fichte;100;1;2033;27.633625977821;25.0;L1;1a;17.1;5.5;13.93;10.26;5.54;0.05;0.05;0.0;0.0;2.3;
39;9;Fichte;100;1;2033;27.633625977821;25.0;Restholz 1;Restholz 1;22.7;2.3;5.34;2.86;0.0;0.0;0.0;0.0;0.0;0.09;
#Summe:;9;Fichte;100;1;2033;27.633625977821;25.0;;;;;;;;0.62;0.69;;;60.46;
#
40;10;Fichte;100;1;2033;54.4801651351725;39.0;L1;5;0.3;3.5;55.46;50.15;46.47;0.67;0.73;0.0;2.73;95.95;
