#ID;Baum-ID;Baumart;Baumart-Code;Beschrieb/BaumNr;Gruppierungsmerkmal;BHD [cm];Schaftl�nge [m];L�ngenklasse;St�rkenklasse;Position Sortimentsbasis am Stamm [m];L�nge [m];Basis-Drm OR;Mitten-Durchm. OR [cm];Zopf-Durchm. OR [cm];Volumen OR [m3];Volumen IR [m3];Volumen Restst�ck Unten OR [m3];Volumen RestSt�ck Oben OR [m3];Wert [CHF];
1;0;Fichte;100;1;2033;48.7543942983189;36.0;L1;4;0.3;6.0;49.55;42.58;39.02;0.86;0.93;0.0;1.74;108.47;
2;0;Fichte;100;1;2033;48.7543942983189;36.0;L3;3a;6.4;21.0;38.94;32.38;18.48;1.63;1.82;0.0;0.09;197.55;
3;0;Fichte;100;1;2033;48.7543942983189;36.0;L2;1a;27.5;8.0;18.31;10.69;1.35;0.08;0.1;0.0;0.0;4.15;
4;0;Fichte;100;1;2033;48.7543942983189;36.0;Restholz 1;Restholz 1;35.6;0.4;1.08;0.55;0.0;0.0;0.0;0.0;0.0;0.0;
#Summe:;0;Fichte;100;1;2033;48.7543942983189;36.0;;;;;;;;2.57;2.86;;;310.18;
#
5;1;Fichte;100;1;2033;46.4658271298758;35.0;L1;4;0.3;6.0;47.2;40.64;37.31;0.78;0.85;0.0;1.53;98.76;
6;1;Fichte;100;1;2033;46.4658271298758;35.0;L3;3a;6.4;20.0;37.23;31.02;18.17;1.43;1.6;0.0;0.08;173.25;
7;1;Fichte;100;1;2033;46.4658271298758;35.0;L2;1a;26.5;8.0;18.0;10.58;1.34;0.08;0.1;0.0;0.0;4.04;
8;1;Fichte;100;1;2033;46.4658271298758;35.0;Restholz 1;Restholz 1;34.6;0.4;1.08;0.54;0.0;0.0;0.0;0.0;0.0;0.0;
#Summe:;1;Fichte;100;1;2033;46.4658271298758;35.0;;;;;;;;2.29;2.55;;;276.05;
#
9;2;Fichte;100;1;2033;30.4518826214482;27.0;L2;2b;0.3;11.5;30.75;25.03;21.61;0.58;0.63;0.0;0.25;64.83;
10;2;Fichte;100;1;2033;30.4518826214482;27.0;L1;2a;11.9;3.5;21.54;20.16;18.56;0.11;0.12;0.0;0.13;10.94;
11;2;Fichte;100;1;2033;30.4518826214482;27.0;L1;1b;15.5;3.5;18.46;16.61;14.51;0.07;0.08;0.0;0.05;5.37;
12;2;Fichte;100;1;2033;30.4518826214482;27.0;L1;1a;19.1;6.0;14.39;10.08;4.53;0.05;0.06;0.0;0.0;2.47;
13;2;Fichte;100;1;2033;30.4518826214482;27.0;Restholz 1;Restholz 1;25.2;1.8;4.31;2.27;0.0;0.0;0.0;0.0;0.0;0.05;
#Summe:;2;Fichte;100;1;2033;30.4518826214482;27.0;;;;;;;;0.81;0.9;;;83.65;
#
14;3;Fichte;100;1;2033;42.8235731699133;34.0;L3;3a;0.3;22.0;43.47;31.72;21.79;1.77;1.95;0.0;0.17;213.84;
15;3;Fichte;100;1;2033;42.8235731699133;34.0;L1;1b;22.4;4.5;21.66;18.43;14.83;0.12;0.14;0.0;0.05;8.67;
16;3;Fichte;100;1;2033;42.8235731699133;34.0;L1;1a;27.0;5.0;14.66;10.12;4.89;0.04;0.05;0.0;0.0;2.1;
17;3;Fichte;100;1;2033;42.8235731699133;34.0;Restholz 1;Restholz 1;32.1;1.9;4.67;2.42;0.0;0.0;0.0;0.0;0.0;0.06;
#Summe:;3;Fichte;100;1;2033;42.8235731699133;34.0;;;;;;;;1.93;2.14;;;224.67;
#
18;4;Fichte;100;1;2033;38.8664290606109;32.0;L3;3a;0.3;17.0;39.4;30.06;24.19;1.25;1.37;0.0;0.28;151.04;
19;4;Fichte;100;1;2033;38.8664290606109;32.0;L1;2a;17.4;5.0;24.09;21.35;18.11;0.17;0.2;0.0;0.1;17.87;
20;4;Fichte;100;1;2033;38.8664290606109;32.0;L2;1a;22.5;9.0;17.97;10.83;1.29;0.09;0.11;0.0;0.0;4.65;
21;4;Fichte;100;1;2033;38.8664290606109;32.0;Restholz 1;Restholz 1;31.6;0.4;1.04;0.52;0.0;0.0;0.0;0.0;0.0;0.0;
#Summe:;4;Fichte;100;1;2033;38.8664290606109;32.0;;;;;;;;1.51;1.68;;;173.56;
#
22;5;Fichte;100;1;2033;38.5716155489236;32.0;L3;3a;0.3;16.0;39.1;30.09;24.95;1.18;1.3;0.0;0.32;142.97;
23;5;Fichte;100;1;2033;38.5716155489236;32.0;L1;2a;16.4;5.5;24.86;22.05;18.65;0.2;0.23;0.0;0.11;21.03;
24;5;Fichte;100;1;2033;38.5716155489236;32.0;L1;1b;22.0;3.0;18.52;16.41;14.12;0.06;0.07;0.0;0.04;4.47;
25;5;Fichte;100;1;2033;38.5716155489236;32.0;L1;1a;25.1;4.5;13.96;10.11;5.67;0.04;0.04;0.0;0.0;1.85;
26;5;Fichte;100;1;2033;38.5716155489236;32.0;Restholz 1;Restholz 1;29.7;2.3;5.46;2.86;0.0;0.0;0.0;0.0;0.0;0.09;
#Summe:;5;Fichte;100;1;2033;38.5716155489236;32.0;;;;;;;;1.48;1.65;;;170.4;
#
