#ID;Baum-ID;Baumart;Baumart-Code;Beschrieb/BaumNr;Gruppierungsmerkmal;BHD [cm];Schaftl�nge [m];L�ngenklasse;St�rkenklasse;Position Sortimentsbasis am Stamm [m];L�nge [m];Basis-Drm OR;Mitten-Durchm. OR [cm];Zopf-Durchm. OR [cm];Volumen OR [m3];Volumen IR [m3];Volumen Restst�ck Unten OR [m3];Volumen RestSt�ck Oben OR [m3];Wert [CHF];
1;0;Fichte;100;1;2033;29.0828300364536;26.0;L2;2b;0.3;8.0;29.35;25.01;22.66;0.4;0.43;0.0;0.33;44.47;
2;0;Fichte;100;1;2033;29.0828300364536;26.0;L1;2a;8.4;6.0;22.61;20.69;18.2;0.2;0.22;0.0;0.13;20.12;
3;0;Fichte;100;1;2033;29.0828300364536;26.0;L1;1b;14.5;3.5;18.11;16.34;14.32;0.07;0.08;0.0;0.05;5.19;
4;0;Fichte;100;1;2033;29.0828300364536;26.0;L1;1a;18.1;6.0;14.19;10.01;4.53;0.05;0.06;0.0;0.0;2.42;
5;0;Fichte;100;1;2033;29.0828300364536;26.0;Restholz 1;Restholz 1;24.2;1.8;4.32;2.28;0.0;0.0;0.0;0.0;0.0;0.05;
#Summe:;0;Fichte;100;1;2033;29.0828300364536;26.0;;;;;;;;0.71;0.79;;;72.25;
#
6;1;Fichte;100;1;2033;19.375223256431;19.0;L2;1b;0.3;8.0;19.41;16.66;14.16;0.17;0.19;0.0;0.08;12.8;
7;1;Fichte;100;1;2033;19.375223256431;19.0;L2;1a;8.4;9.0;14.08;10.19;3.72;0.07;0.08;0.0;0.0;3.67;
8;1;Fichte;100;1;2033;19.375223256431;19.0;Restholz 1;Restholz 1;17.5;1.5;3.52;1.88;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;1;Fichte;100;1;2033;19.375223256431;19.0;;;;;;;;0.25;0.27;;;16.5;
#
9;2;Fichte;100;1;2033;17.0313346341823;17.0;L1;1b;0.3;4.5;17.02;15.55;14.24;0.08;0.09;0.0;0.09;6.13;
10;2;Fichte;100;1;2033;17.0313346341823;17.0;L2;1a;4.9;11.0;14.18;10.15;2.66;0.09;0.1;0.0;0.0;4.43;
11;2;Fichte;100;1;2033;17.0313346341823;17.0;Restholz 1;Restholz 1;16.0;1.0;2.44;1.29;0.0;0.0;0.0;0.0;0.0;0.01;
#Summe:;2;Fichte;100;1;2033;17.0313346341823;17.0;;;;;;;;0.17;0.19;;;10.56;
#
12;3;Fichte;100;1;2033;40.1465258676376;32.0;L3;3a;0.3;20.5;40.7;30.11;20.9;1.48;1.63;0.0;0.15;179.2;
13;3;Fichte;100;1;2033;40.1465258676376;32.0;L1;1b;20.9;4.5;20.77;17.61;14.02;0.11;0.12;0.0;0.04;7.91;
14;3;Fichte;100;1;2033;40.1465258676376;32.0;L1;1a;25.5;4.0;13.85;10.24;6.12;0.03;0.04;0.0;0.0;1.67;
15;3;Fichte;100;1;2033;40.1465258676376;32.0;Restholz 1;Restholz 1;29.6;2.4;5.9;3.1;0.0;0.0;0.0;0.0;0.0;0.11;
#Summe:;3;Fichte;100;1;2033;40.1465258676376;32.0;;;;;;;;1.62;1.8;;;188.89;
#
16;4;Fichte;100;1;2033;31.3820764045665;28.0;L2;2b;0.3;14.0;31.72;25.07;20.58;0.71;0.78;0.0;0.19;79.3;
17;4;Fichte;100;1;2033;31.3820764045665;28.0;L1;1b;14.4;5.5;20.49;17.85;14.61;0.13;0.15;0.0;0.05;9.9;
