#ID;Baum-ID;Baumart;Baumart-Code;Beschrieb/BaumNr;Gruppierungsmerkmal;BHD [cm];Schaftl�nge [m];L�ngenklasse;St�rkenklasse;Position Sortimentsbasis am Stamm [m];L�nge [m];Basis-Drm OR;Mitten-Durchm. OR [cm];Zopf-Durchm. OR [cm];Volumen OR [m3];Volumen IR [m3];Volumen Restst�ck Unten OR [m3];Volumen RestSt�ck Oben OR [m3];Wert [CHF];
34;8;Fichte;100;1;2033;33.0257787078026;29.0;L2;2b;4.4;10.5;28.18;25.12;21.5;0.51;0.56;0.0;0.22;57.25;
35;8;Fichte;100;1;2033;33.0257787078026;29.0;L1;2a;15.0;3.0;21.41;20.01;18.44;0.09;0.1;0.0;0.12;9.15;
36;8;Fichte;100;1;2033;33.0257787078026;29.0;L1;1b;18.1;3.0;18.32;16.57;14.63;0.06;0.07;0.0;0.05;4.53;
37;8;Fichte;100;1;2033;33.0257787078026;29.0;L1;1a;21.2;5.5;14.49;10.37;5.32;0.05;0.06;0.0;0.0;2.38;
38;8;Fichte;100;1;2033;33.0257787078026;29.0;Restholz 1;Restholz 1;26.8;2.2;5.11;2.7;0.0;0.0;0.0;0.0;0.0;0.08;
#Summe:;8;Fichte;100;1;2033;33.0257787078026;29.0;;;;;;;;0.99;1.1;;;105.92;
#
39;9;Fichte;100;1;2033;58.4291795180146;41.0;L1;5;0.3;6.0;59.54;50.68;46.0;1.22;1.33;0.0;2.82;174.98;
40;9;Fichte;100;1;2033;58.4291795180146;41.0;L1;4;6.4;6.0;45.89;43.56;42.13;0.87;0.96;0.0;1.9;110.42;
41;9;Fichte;100;1;2033;58.4291795180146;41.0;L1;4;12.5;6.0;42.09;40.64;38.62;0.75;0.83;0.0;1.11;95.07;
42;9;Fichte;100;1;2033;58.4291795180146;41.0;L2;3b;18.6;7.0;38.54;35.11;30.52;0.66;0.74;0.0;0.43;79.67;
43;9;Fichte;100;1;2033;58.4291795180146;41.0;L2;2b;25.7;6.5;30.38;25.2;19.34;0.32;0.37;0.0;0.09;35.9;
44;9;Fichte;100;1;2033;58.4291795180146;41.0;L2;1a;32.3;8.5;19.15;10.54;0.52;0.09;0.11;0.0;0.0;4.5;
45;9;Fichte;100;1;2033;58.4291795180146;41.0;Restholz 1;Restholz 1;40.9;0.1;0.26;0.13;0.0;0.0;0.0;0.0;0.0;0.0;
#Summe:;9;Fichte;100;1;2033;58.4291795180146;41.0;;;;;;;;3.91;4.34;;;500.55;
#
