#ID;Baum-ID;Baumart;Baumart-Code;Beschrieb/BaumNr;Gruppierungsmerkmal;BHD [cm];Schaftl�nge [m];L�ngenklasse;St�rkenklasse;Position Sortimentsbasis am Stamm [m];L�nge [m];Basis-Drm OR;Mitten-Durchm. OR [cm];Zopf-Durchm. OR [cm];Volumen OR [m3];Volumen IR [m3];Volumen Restst�ck Unten OR [m3];Volumen RestSt�ck Oben OR [m3];Wert [CHF];
1;0;Tanne;101;1;2033;16.410836330733;11.0;L2;1a;0.3;10.5;15.39;11.66;1.02;0.11;0.13;0.0;0.0;5.6;
2;0;Tanne;101;1;2033;16.410836330733;11.0;Restholz 1;Restholz 1;10.9;0.1;0.52;0.26;0.0;0.0;0.0;0.0;0.0;0.0;
#Summe:;0;Tanne;101;1;2033;16.410836330733;11.0;;;;;;;;0.11;0.13;;;5.6;
#
3;1;Tanne;101;1;2033;65.8178831719884;31.0;L3;5;0.3;18.5;65.17;50.08;39.31;3.74;4.21;0.0;0.68;473.05;
4;1;Tanne;101;1;2033;65.8178831719884;31.0;L2;3a;18.9;8.5;39.15;31.06;18.3;0.63;0.73;0.0;0.04;68.85;
5;1;Tanne;101;1;2033;65.8178831719884;31.0;L1;1a;27.5;3.0;17.91;11.32;3.15;0.03;0.04;0.0;0.0;1.64;
6;1;Tanne;101;1;2033;65.8178831719884;31.0;Restholz 1;Restholz 1;30.6;0.4;2.54;1.29;0.0;0.0;0.0;0.0;0.0;0.0;
#Summe:;1;Tanne;101;1;2033;65.8178831719884;31.0;;;;;;;;4.41;4.98;;;543.54;
#
7;2;Tanne;101;1;2033;23.2773738440196;14.0;L1;2a;0.3;5.0;22.03;20.98;18.35;0.16;0.18;0.0;0.12;15.3;
8;2;Tanne;101;1;2033;23.2773738440196;14.0;L1;1b;5.4;3.5;18.24;16.35;14.4;0.07;0.08;0.0;0.04;5.22;
9;2;Tanne;101;1;2033;23.2773738440196;14.0;L1;1a;9.0;4.5;14.27;10.5;2.69;0.04;0.04;0.0;0.0;1.89;
10;2;Tanne;101;1;2033;23.2773738440196;14.0;Restholz 1;Restholz 1;13.6;0.4;2.18;1.13;0.0;0.0;0.0;0.0;0.0;0.0;
#Summe:;2;Tanne;101;1;2033;23.2773738440196;14.0;;;;;;;;0.27;0.31;;;22.41;
#
11;3;Tanne;101;1;2033;19.654385889532;12.0;L1;1b;0.3;5.5;18.48;17.22;14.21;0.12;0.14;0.0;0.05;9.02;
12;3;Tanne;101;1;2033;19.654385889532;12.0;L1;1a;5.9;6.0;14.1;10.43;0.57;0.05;0.06;0.0;0.0;2.41;
#Summe:;3;Tanne;101;1;2033;19.654385889532;12.0;;;;;;;;0.17;0.19;;;11.44;
#
13;4;Tanne;101;1;2033;24.2051432772112;15.0;L1;2a;0.3;6.0;22.99;21.45;18.37;0.21;0.23;0.0;0.12;19.39;
14;4;Tanne;101;1;2033;24.2051432772112;15.0;L1;1b;6.4;3.5;18.27;16.46;14.47;0.07;0.08;0.0;0.04;5.28;
15;4;Tanne;101;1;2033;24.2051432772112;15.0;L1;1a;10.0;4.5;14.35;10.4;2.61;0.04;0.04;0.0;0.0;1.87;
16;4;Tanne;101;1;2033;24.2051432772112;15.0;Restholz 1;Restholz 1;14.6;0.4;2.12;1.09;0.0;0.0;0.0;0.0;0.0;0.0;
#Summe:;4;Tanne;101;1;2033;24.2051432772112;15.0;;;;;;;;0.32;0.36;;;26.54;
#
17;5;Tanne;101;1;2033;20.9235597691053;13.0;L2;1b;0.3;7.0;19.74;17.75;14.04;0.17;0.19;0.0;0.04;12.39;
18;5;Tanne;101;1;2033;20.9235597691053;13.0;L1;1a;7.4;5.5;13.94;10.11;0.56;0.04;0.05;0.0;0.0;2.12;
#Summe:;5;Tanne;101;1;2033;20.9235597691053;13.0;;;;;;;;0.21;0.24;;;14.51;
#
19;6;Tanne;101;1;2033;32.8441513653032;18.0;L1;3a;0.3;4.5;31.52;30.04;27.81;0.3;0.34;0.0;0.4;33.27;
20;6;Tanne;101;1;2033;32.8441513653032;18.0;L1;2b;4.9;4.5;27.71;25.18;22.61;0.22;0.24;0.0;0.17;21.91;
21;6;Tanne;101;1;2033;32.8441513653032;18.0;L1;2a;9.5;3.0;22.49;20.65;18.46;0.09;0.11;0.0;0.07;8.85;
22;6;Tanne;101;1;2033;32.8441513653032;18.0;L1;1a;12.6;5.0;18.3;12.75;2.37;0.06;0.07;0.0;0.0;3.2;
23;6;Tanne;101;1;2033;32.8441513653032;18.0;Restholz 1;Restholz 1;17.7;0.3;1.8;0.92;0.0;0.0;0.0;0.0;0.0;0.0;
#Summe:;6;Tanne;101;1;2033;32.8441513653032;18.0;;;;;;;;0.68;0.77;;;67.23;
#
24;7;Fichte;100;1;2033;30.5616357405848;27.0;L2;2b;0.3;11.5;30.87;25.12;21.69;0.58;0.64;0.0;0.25;65.3;
25;7;Fichte;100;1;2033;30.5616357405848;27.0;L1;2a;11.9;4.0;21.61;20.02;18.12;0.12;0.14;0.0;0.12;12.4;
26;7;Fichte;100;1;2033;30.5616357405848;27.0;L1;1b;16.0;3.0;18.02;16.39;14.57;0.06;0.07;0.0;0.05;4.43;
