#ID;Baum-ID;Baumart;Baumart-Code;Beschrieb/BaumNr;Gruppierungsmerkmal;BHD [cm];Schaftl�nge [m];L�ngenklasse;St�rkenklasse;Position Sortimentsbasis am Stamm [m];L�nge [m];Basis-Drm OR;Mitten-Durchm. OR [cm];Zopf-Durchm. OR [cm];Volumen OR [m3];Volumen IR [m3];Volumen Restst�ck Unten OR [m3];Volumen RestSt�ck Oben OR [m3];Wert [CHF];
1;0;Tanne;101;1;2033;36.2904068201968;20.0;L2;3a;0.3;10.5;35.04;30.19;24.41;0.74;0.84;0.0;0.21;81.09;
2;0;Tanne;101;1;2033;36.2904068201968;20.0;L1;2a;10.9;4.0;24.29;21.72;18.4;0.14;0.16;0.0;0.06;13.27;
3;0;Tanne;101;1;2033;36.2904068201968;20.0;L1;1a;15.0;4.5;18.21;12.45;2.88;0.06;0.07;0.0;0.0;2.8;
4;0;Tanne;101;1;2033;36.2904068201968;20.0;Restholz 1;Restholz 1;19.6;0.4;2.33;1.19;0.0;0.0;0.0;0.0;0.0;0.0;
#Summe:;0;Tanne;101;1;2033;36.2904068201968;20.0;;;;;;;;0.94;1.06;;;97.16;
#
5;1;Tanne;101;1;2033;64.0299751111366;30.0;L3;5;0.3;15.5;63.29;50.21;41.89;3.15;3.55;0.0;0.94;398.66;
6;1;Tanne;101;1;2033;64.0299751111366;30.0;L2;3b;15.9;8.5;41.76;35.1;25.18;0.8;0.92;0.0;0.11;87.56;
7;1;Tanne;101;1;2033;64.0299751111366;30.0;Restholz 1;Restholz 1;24.5;5.5;24.89;14.9;0.0;0.11;0.13;0.0;0.0;5.38;
#Summe:;1;Tanne;101;1;2033;64.0299751111366;30.0;;;;;;;;4.06;4.59;;;491.61;
#
8;2;Tanne;101;1;2033;62.2635172552069;29.0;L2;5;0.3;13.0;61.43;50.2;43.4;2.63;2.96;0.0;1.14;301.27;
9;2;Tanne;101;1;2033;62.2635172552069;29.0;L1;4;13.4;5.0;43.29;40.07;36.24;0.61;0.69;0.0;0.5;67.74;
10;2;Tanne;101;1;2033;62.2635172552069;29.0;L1;3a;18.5;6.0;36.07;30.14;21.77;0.42;0.48;0.0;0.07;45.51;
11;2;Tanne;101;1;2033;62.2635172552069;29.0;L1;1a;24.6;4.0;21.43;13.44;2.61;0.06;0.07;0.0;0.0;3.09;
12;2;Tanne;101;1;2033;62.2635172552069;29.0;Restholz 1;Restholz 1;28.7;0.3;1.97;1.0;0.0;0.0;0.0;0.0;0.0;0.0;
#Summe:;2;Tanne;101;1;2033;62.2635172552069;29.0;;;;;;;;3.72;4.2;;;417.62;
#
