#ID;Baum-ID;Baumart;Baumart-Code;Beschrieb/BaumNr;Gruppierungsmerkmal;BHD [cm];Schaftl�nge [m];L�ngenklasse;St�rkenklasse;Position Sortimentsbasis am Stamm [m];L�nge [m];Basis-Drm OR;Mitten-Durchm. OR [cm];Zopf-Durchm. OR [cm];Volumen OR [m3];Volumen IR [m3];Volumen Restst�ck Unten OR [m3];Volumen RestSt�ck Oben OR [m3];Wert [CHF];
1;0;Tanne;101;2;2033;22.2583663818941;14.0;L1;2a;0.3;4.5;21.07;20.27;18.07;0.14;0.15;0.0;0.12;12.81;
2;0;Tanne;101;2;2033;22.2583663818941;14.0;L1;1b;4.9;3.5;17.97;16.14;14.33;0.07;0.08;0.0;0.04;5.09;
3;0;Tanne;101;2;2033;22.2583663818941;14.0;L1;1a;8.5;5.0;14.22;10.57;2.57;0.04;0.05;0.0;0.0;2.11;
4;0;Tanne;101;2;2033;22.2583663818941;14.0;Restholz 1;Restholz 1;13.6;0.4;2.09;1.08;0.0;0.0;0.0;0.0;0.0;0.0;
#Summe:;0;Tanne;101;2;2033;22.2583663818941;14.0;;;;;;;;0.25;0.28;;;20.02;
#
5;1;Tanne;101;2;2033;16.8440955064528;11.0;L1;1b;0.3;3.0;15.8;15.65;14.3;0.05;0.06;0.0;0.06;3.93;
6;1;Tanne;101;2;2033;16.8440955064528;11.0;L2;1a;3.4;7.5;14.2;10.33;0.54;0.06;0.07;0.0;0.0;3.0;
#Summe:;1;Tanne;101;2;2033;16.8440955064528;11.0;;;;;;;;0.11;0.13;;;6.93;
#
7;2;Tanne;101;2;2033;83.1852487879048;35.0;L3;6;0.3;22.0;82.88;60.99;46.66;6.66;7.49;0.0;0.98;875.98;
8;2;Tanne;101;2;2033;83.1852487879048;35.0;L1;4;22.4;6.0;46.47;40.0;31.66;0.73;0.85;0.0;0.21;81.85;
9;2;Tanne;101;2;2033;83.1852487879048;35.0;L1;2b;28.5;3.0;31.34;26.09;19.87;0.15;0.18;0.0;0.04;15.61;
10;2;Tanne;101;2;2033;83.1852487879048;35.0;L1;1a;31.6;3.0;19.42;11.88;2.75;0.04;0.04;0.0;0.0;1.85;
11;2;Tanne;101;2;2033;83.1852487879048;35.0;Restholz 1;Restholz 1;34.7;0.3;2.08;1.05;0.0;0.0;0.0;0.0;0.0;0.0;
#Summe:;2;Tanne;101;2;2033;83.1852487879048;35.0;;;;;;;;7.59;8.57;;;975.29;
#
12;3;Tanne;101;2;2033;34.5184360878949;19.0;L2;3a;0.3;7.5;33.23;30.14;26.09;0.52;0.59;0.0;0.3;56.91;
13;3;Tanne;101;2;2033;34.5184360878949;19.0;L1;2a;7.9;6.0;25.98;22.52;18.09;0.23;0.26;0.0;0.06;21.75;
14;3;Tanne;101;2;2033;34.5184360878949;19.0;L1;1a;14.0;4.5;17.9;12.36;2.9;0.05;0.06;0.0;0.0;2.74;
15;3;Tanne;101;2;2033;34.5184360878949;19.0;Restholz 1;Restholz 1;18.6;0.4;2.35;1.2;0.0;0.0;0.0;0.0;0.0;0.0;
#Summe:;3;Tanne;101;2;2033;34.5184360878949;19.0;;;;;;;;0.81;0.91;;;81.41;
#
16;4;Tanne;101;2;2033;14.6570764870165;10.0;L2;1a;0.3;9.5;13.73;10.43;1.01;0.08;0.09;0.0;0.0;4.06;
17;4;Tanne;101;2;2033;14.6570764870165;10.0;Restholz 1;Restholz 1;9.9;0.1;0.51;0.26;0.0;0.0;0.0;0.0;0.0;0.0;
#Summe:;4;Tanne;101;2;2033;14.6570764870165;10.0;;;;;;;;0.08;0.09;;;4.06;
#
18;5;Tanne;101;2;2033;21.0783168673299;13.0;L2;1b;0.3;7.0;19.88;17.88;14.15;0.17;0.19;0.0;0.04;12.58;
19;5;Tanne;101;2;2033;21.0783168673299;13.0;L1;1a;7.4;5.5;14.04;10.19;0.56;0.04;0.05;0.0;0.0;2.15;
#Summe:;5;Tanne;101;2;2033;21.0783168673299;13.0;;;;;;;;0.21;0.24;;;14.72;
#
20;6;Tanne;101;2;2033;23.544882987432;14.0;L1;2a;0.3;5.5;22.28;20.98;18.01;0.18;0.2;0.0;0.11;16.92;
21;6;Tanne;101;2;2033;23.544882987432;14.0;L1;1b;5.9;3.0;17.9;16.27;14.56;0.06;0.07;0.0;0.04;4.37;
