fsID,area,HYBRID,ProtFor,fs_NatRes,fs_NatProt,BAU,WOOD,BIO,ds,Cluster_ID,ds_text,rst,SEmme,Above1000m,area_ha,age,elev,SHORTNAME
227,43209,3,0,0,0,3,3,3,ds5,6630.0,Mittleres Baumholz,Mittleres Baumholz_6,1,1,4.321,not_young,1081.1,Romoos
240,8180,3,0,0,0,3,3,3,ds2,679.0,Jungwuchs/Dickung,Jungwuchs/Dickung_6,1,1,0.818,young,1232.2,Escholzmatt
244,7995,3,0,0,0,3,3,3,ds2,666.0,Jungwuchs/Dickung,Jungwuchs/Dickung_6,1,1,0.799,young,1116.4,Escholzmatt
245,32765,3,0,0,0,3,3,3,ds6,470.0,Starkes Baumholz,Starkes Baumholz_6,1,1,3.277,not_young,991.8,Escholzmatt
246,23490,2,1,0,1,2,2,1,ds3,600.0,Stangenholz,Stangenholz_6,1,1,2.349,not_young,1003.2,Finsterwald b. E.
248,43317,3,0,0,0,3,3,1,ds6,465.0,Starkes Baumholz,Starkes Baumholz_6,1,1,4.332,not_young,1044.2,Bramboden
252,19249,3,0,0,0,3,3,3,ds4,2583.0,Schwaches Baumholz,Schwaches Baumholz_6,1,1,1.925,not_young,1080.1,Escholzmatt
259,32824,2,1,0,1,2,2,2,ds2,660.0,Jungwuchs/Dickung,Jungwuchs/Dickung_13,1,1,3.282,young,972.9,Schüpfheim
268,9307,3,0,0,0,3,3,3,ds2,640.0,Jungwuchs/Dickung,Jungwuchs/Dickung_6,1,1,0.931,young,1038.6,Schüpfheim
269,26890,2,1,0,1,2,2,2,ds3,576.0,Stangenholz,Stangenholz_6,1,1,2.689,not_young,1037.1,Schüpfheim
274,12093,1,0,2,2,1,1,1,ds2,644.0,Jungwuchs/Dickung,Jungwuchs/Dickung_6,1,1,1.209,young,1191.1,Romoos
276,35718,2,1,0,1,2,2,2,ds6,4350.0,Starkes Baumholz,Starkes Baumholz_13,1,1,3.572,not_young,977.5,Escholzmatt
279,23428,3,0,0,0,3,3,3,ds4,2544.0,Schwaches Baumholz,Schwaches Baumholz_6,1,1,2.343,not_young,1031.1,Schüpfheim
280,10621,3,0,0,0,3,3,3,ds3,575.0,Stangenholz,Stangenholz_6,1,1,1.062,not_young,1121.9,Schüpfheim
281,32875,3,0,0,0,3,3,3,ds5,2483.0,Mittleres Baumholz,Mittleres Baumholz_6,1,1,3.287,not_young,1078.6,Schüpfheim
284,22863,3,0,0,0,3,3,1,ds6,2296.0,Starkes Baumholz,Starkes Baumholz_6,1,1,2.286,not_young,1085.8,Fontannen b. W.
292,1128,3,0,0,0,3,3,3,ds4,6630.0,Schwaches Baumholz,Schwaches Baumholz_6,1,1,0.113,not_young,1066.4,Romoos
295,22253,3,0,0,0,3,3,3,ds6,2304.0,Starkes Baumholz,Starkes Baumholz_6,1,1,2.225,not_young,1069.1,Romoos
297,16120,2,1,0,1,2,2,2,ds1,682.0,Jungwuchs/Dickung,Jungwuchs/Dickung_6,1,1,1.612,young,1131.7,Escholzmatt
303,9847,2,1,0,1,2,2,2,ds3,556.0,Stangenholz,Stangenholz_13,1,1,0.985,not_young,757.7999999999998,Hasle LU
316,11413,3,0,0,0,3,3,1,ds2,612.0,Jungwuchs/Dickung,Jungwuchs/Dickung_13,1,1,1.141,young,806.3999999999999,Rengg
317,21587,3,0,0,0,3,3,3,ds5,4499.0,Mittleres Baumholz,Mittleres Baumholz_6,1,1,2.159,not_young,1035.7,Escholzmatt
318,33139,2,1,0,1,2,2,2,ds6,2322.0,Starkes Baumholz,Starkes Baumholz_13,1,1,3.314,not_young,963.4,Escholzmatt
324,18025,3,0,0,0,3,3,3,ds5,4500.0,Mittleres Baumholz,Mittleres Baumholz_13,1,1,1.803,not_young,1017.0,Escholzmatt
325,17026,3,0,0,0,3,3,3,ds5,2450.0,Mittleres Baumholz,Mittleres Baumholz_13,1,1,1.703,not_young,941.1,Escholzmatt
327,24439,3,0,0,0,3,3,3,ds5,414.0,Mittleres Baumholz,Mittleres Baumholz_6,1,1,2.444,not_young,1006.5,Romoos
330,58376,2,1,0,1,2,2,1,ds5,400.0,Mittleres Baumholz,Mittleres Baumholz_13,1,1,5.838,not_young,934.9,Romoos
345,36666,3,0,0,0,3,3,1,ds6,2346.0,Starkes Baumholz,Starkes Baumholz_6,1,1,3.667,not_young,942.9,Fontannen b. W.
367,9478,3,0,0,0,3,3,3,ds4,2472.0,Schwaches Baumholz,Schwaches Baumholz_13,1,1,0.948,not_young,876.5,Schüpfheim
