#ID;Baumart;Baumart-Code;Beschrieb;Aufnahme-Datum;BHD;D7m;SchaftLaenge_m
0;Fichte;100;2;2015;38.64468792382484;0;31.654041001507863
1;Fichte;100;28;2015;24.03133178346057;0;22.55242647605084
2;Fichte;100;32;2015;2.675527852495676;0;4.198645781658123
3;Fichte;100;68;2015;40.58976604081653;0;32.69724939946056
4;Fichte;100;68;2015;20.591634963793883;0;20.04494397052424
5;Fichte;100;68;2015;18.96761507723421;0;18.806861045752818
6;Fichte;100;68;2015;43.88151445289512;0;34.382798646565234
7;Fichte;100;68;2015;11.320076188115642;0;12.47270471122142
8;Fichte;100;68;2015;18.36605312788993;0;18.33913317231297
9;Fichte;100;68;2015;42.7597544670918;0;33.819411601134334
10;Fichte;100;68;2015;8.356135915978335;0;9.77742932164324
11;Fichte;100;68;2015;38.91813928794707;0;31.802883861984423
12;Fichte;100;68;2015;42.78540950530231;0;33.83242203904345
13;Fichte;100;78;2015;17.74035676472998;0;17.847318976298787
14;Fichte;100;88;2015;40.39135616686484;0;32.59247572747426
15;Fichte;100;91;2015;16.910389148628315;0;17.18646746144356
16;Fichte;100;95;2015;35.352204400097825;0;29.804091307475147
17;Fichte;100;97;2015;32.89582496710179;0;28.35186317293983
18;Fichte;100;151;2015;13.827481972348998;0;14.644815671409255
19;Fichte;100;169;2015;17.59698610781929;0;17.7338554852809
20;Fichte;100;172;2015;24.95249457442104;0;23.1983846780507
21;Fichte;100;200;2015;13.59132144837605;0;14.444328760478836
22;Fichte;100;1;2016;1.2612262874386078;0;2.720127667181072
23;Fichte;100;12;2016;33.38426664528895;0;28.6233162560814
24;Fichte;100;41;2016;1.275894735393451;0;2.7356531583118686
25;Fichte;100;53;2016;21.60126788107556;0;20.80160647825709
26;Fichte;100;57;2016;25.336741103881607;0;23.37582232473744
27;Fichte;100;63;2016;27.273167650567306;0;24.72115475265084
28;Fichte;100;83;2016;21.708282296264503;0;20.86887301756404
29;Fichte;100;89;2016;21.44277761302616;0;20.65045644875272
30;Fichte;100;105;2016;18.961732220219908;0;18.79581818752147
31;Fichte;100;105;2016;13.099322525999195;0;14.026511001103788
32;Fichte;100;105;2016;18.07192395455562;0;18.106250648219426
33;Fichte;100;105;2016;35.13398163267873;0;29.592186204537384
34;Fichte;100;105;2016;21.528146514278987;0;20.718187550576864
35;Fichte;100;105;2016;21.606019055968705;0;20.7664421783439
36;Fichte;100;105;2016;33.18587410304844;0;28.46548691389309
37;Fichte;100;105;2016;36.77940160794845;0;30.499491684398908
38;Fichte;100;105;2016;25.025537957707872;0;23.2077188706143
39;Fichte;100;105;2016;14.166370889853289;0;14.931301535814141
40;Fichte;100;105;2016;20.387446683554284;0;19.873472087559787
41;Fichte;100;105;2016;25.13089367739053;0;23.266036761900008
42;Fichte;100;105;2016;20.292219182713183;0;19.80802376469956
43;Fichte;100;177;2016;31.60257062732952;0;27.568512771081792
44;Ubrige Laubholzer;299;197;2016;1.22739742411251;0;2.9258599566824306
45;Fichte;100;11;2017;1.2586150158767353;0;2.7174433542916057
46;Fichte;100;11;2017;1.2586150158767353;0;2.7174433542916057
