area_ha,alt_zone,type,age,BAU,HYBRID,WOOD,NONE,BIO,fsID,ds,rst,distance,elev,SHORTNAME
0.4,8,prot_no_nat,young,2,2,2,0,2,7408,Jungwuchs/Dickung,Jungwuchs/Dickung_8,560.9116145447939,1721.4,Trun
1.4,8,prot_no_nat,young,2,2,2,0,2,7411,Jungwuchs/Dickung,Jungwuchs/Dickung_8,0.0,1852.9,Sedrun
0.6,8,prot_no_nat,young,2,2,2,0,2,7412,Jungwuchs/Dickung,Jungwuchs/Dickung_8,0.0,1504.4,Disentis/Mustér
0.8,11,prot_no_nat,young,1,2,2,0,2,6942,Jungwuchs/Dickung,Jungwuchs/Dickung_11,177.6910596255742,733.2,Rueun
0.9,11,prot_no_nat,young,2,2,2,0,2,6714,Jungwuchs/Dickung,Jungwuchs/Dickung_11,18.67596587628349,1508.8,Obersaxen
0.5,8,prot_no_nat,young,2,2,2,0,2,7234,Jungwuchs/Dickung,Jungwuchs/Dickung_8,27.055844806125634,1546.2,Sedrun
0.2,5,prot_no_nat,young,2,2,2,0,2,7237,Jungwuchs/Dickung,Jungwuchs/Dickung_5,443.73677143359953,907.2,Sumvitg
0.2,6,nat15,young,3,3,3,0,1,7238,Jungwuchs/Dickung,Jungwuchs/Dickung_6,14.95992354729356,1302.5,Sumvitg
0.1,5,prot_no_nat,young,2,2,2,0,2,7235,Jungwuchs/Dickung,Jungwuchs/Dickung_5,220.16626959358243,818.3999999999999,Trun
0.6,12,res_no_prot,young,1,1,1,0,1,7236,Jungwuchs/Dickung,Jungwuchs/Dickung_12,0.0,1627.7,Surrein
0.5,11,plant10,young,3,4,4,0,3,7207,Jungwuchs/Dickung,Jungwuchs/Dickung_11,664.91126265359,850.3999999999999,Trun
2.2,11,prot_no_nat,young,2,2,2,0,2,6704,Jungwuchs/Dickung,Jungwuchs/Dickung_11,377.17631641755406,1533.3,Obersaxen
0.9,3,prot_no_nat,young,2,2,2,0,2,6955,Jungwuchs/Dickung,Jungwuchs/Dickung_3,509.1378603425057,752.2999999999998,Rueun
0.7,11,other,young,1,3,3,0,3,6234,Jungwuchs/Dickung,Jungwuchs/Dickung_11,0.0,895.3999999999999,Surrein
