#ID;Baum-ID;Baumart;Baumart-Code;Beschrieb/BaumNr;Gruppierungsmerkmal;BHD [cm];Schaftl�nge [m];L�ngenklasse;St�rkenklasse;Position Sortimentsbasis am Stamm [m];L�nge [m];Basis-Drm OR;Mitten-Durchm. OR [cm];Zopf-Durchm. OR [cm];Volumen OR [m3];Volumen IR [m3];Volumen Restst�ck Unten OR [m3];Volumen RestSt�ck Oben OR [m3];Wert [CHF];
32;9;Fichte;100;68;2015;42.7597544670918;34.0;Restholz 1;Restholz 1;32.1;1.9;4.66;2.42;0.0;0.0;0.0;0.0;0.0;0.06;
#Summe:;9;Fichte;100;68;2015;42.7597544670918;34.0;;;;;;;;1.92;2.13;;;224.0;
#
33;10;Fichte;100;68;2015;8.356135915978335;10.0;Restholz 1;Restholz 1;0.3;9.7;8.33;5.79;0.0;0.03;0.03;0.0;0.0;1.29;
#Summe:;10;Fichte;100;68;2015;8.356135915978335;10.0;;;;;;;;0.03;0.03;;;1.29;
#
34;11;Fichte;100;68;2015;38.91813928794707;32.0;L3;3a;0.3;17.0;39.46;30.1;24.22;1.25;1.38;0.0;0.28;151.44;
35;11;Fichte;100;68;2015;38.91813928794707;32.0;L1;2a;17.4;5.0;24.12;21.37;18.13;0.17;0.2;0.0;0.1;17.92;
36;11;Fichte;100;68;2015;38.91813928794707;32.0;L2;1a;22.5;9.0;17.99;10.84;1.29;0.09;0.11;0.0;0.0;4.67;
37;11;Fichte;100;68;2015;38.91813928794707;32.0;Restholz 1;Restholz 1;31.6;0.4;1.04;0.52;0.0;0.0;0.0;0.0;0.0;0.0;
#Summe:;11;Fichte;100;68;2015;38.91813928794707;32.0;;;;;;;;1.52;1.69;;;174.02;
#
38;12;Fichte;100;68;2015;42.78540950530231;34.0;L3;3a;0.3;22.0;43.43;31.7;21.77;1.76;1.95;0.0;0.17;213.46;
39;12;Fichte;100;68;2015;42.78540950530231;34.0;L1;1b;22.4;4.5;21.64;18.42;14.81;0.12;0.14;0.0;0.05;8.66;
40;12;Fichte;100;68;2015;42.78540950530231;34.0;L1;1a;27.0;5.0;14.64;10.12;4.89;0.04;0.05;0.0;0.0;2.1;
41;12;Fichte;100;68;2015;42.78540950530231;34.0;Restholz 1;Restholz 1;32.1;1.9;4.66;2.42;0.0;0.0;0.0;0.0;0.0;0.06;
#Summe:;12;Fichte;100;68;2015;42.78540950530231;34.0;;;;;;;;1.92;2.13;;;224.27;
#
42;13;Fichte;100;78;2015;17.74035676472998;18.0;L1;1b;0.3;6.0;17.75;15.77;14.03;0.12;0.13;0.0;0.08;8.52;
43;13;Fichte;100;78;2015;17.74035676472998;18.0;L2;1a;6.4;10.0;13.97;10.17;3.61;0.08;0.09;0.0;0.0;4.04;
44;13;Fichte;100;78;2015;17.74035676472998;18.0;Restholz 1;Restholz 1;16.5;1.5;3.41;1.83;0.0;0.0;0.0;0.0;0.0;0.02;
#Summe:;13;Fichte;100;78;2015;17.74035676472998;18.0;;;;;;;;0.2;0.22;;;12.59;
#
45;14;Fichte;100;88;2015;40.39135616686484;33.0;L3;3a;0.3;21.5;40.98;30.04;20.47;1.54;1.71;0.0;0.14;186.92;
46;14;Fichte;100;88;2015;40.39135616686484;33.0;L1;1b;21.9;4.0;20.33;17.55;14.46;0.09;0.11;0.0;0.04;6.94;
47;14;Fichte;100;88;2015;40.39135616686484;33.0;L1;1a;26.0;4.5;14.29;10.38;5.91;0.04;0.05;0.0;0.0;1.95;
48;14;Fichte;100;88;2015;40.39135616686484;33.0;Restholz 1;Restholz 1;30.6;2.4;5.69;2.98;0.0;0.0;0.0;0.0;0.0;0.11;
#Summe:;14;Fichte;100;88;2015;40.39135616686484;33.0;;;;;;;;1.68;1.86;;;195.9;
#
49;15;Fichte;100;91;2015;16.910389148628315;17.0;L1;1b;0.3;4.5;16.9;15.44;14.14;0.08;0.09;0.0;0.09;6.04;
50;15;Fichte;100;91;2015;16.910389148628315;17.0;L2;1a;4.9;11.0;14.08;10.07;2.64;0.09;0.1;0.0;0.0;4.37;
51;15;Fichte;100;91;2015;16.910389148628315;17.0;Restholz 1;Restholz 1;16.0;1.0;2.42;1.28;0.0;0.0;0.0;0.0;0.0;0.01;
